cluster,gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,region
GE-InN-7,CLRN1-AS1,2.39947916092481e-196,1.08246599872831,0.254,0.005,7.0489499310488e-192,GE
GE-InN-7,AC105114.2,1.36574810237511e-194,1.79624858522256,0.478,0.025,4.01215820034736e-190,GE
GE-InN-7,RARB,1.35608776984273e-185,3.30026964184252,0.604,0.045,3.98377904146698e-181,GE
GE-InN-7,GABRB2,1.74413550525248e-182,2.03682451679211,0.634,0.05,5.12374687378021e-178,GE
GE-InN-7,PALMD,2.16677351175481e-171,0.995376128764429,0.284,0.008,6.36533054548209e-167,GE
GE-InN-7,SLC35F3,3.84308714286614e-169,2.20403130732091,0.41,0.021,1.12898370995979e-164,GE
GE-InN-7,KCNH1,7.26160390933117e-154,1.61120112787751,0.493,0.034,2.13324138044422e-149,GE
GE-InN-7,ZNF521,3.34938184910308e-146,3.51263284303115,0.881,0.151,9.83947905811012e-142,GE
GE-RG-1,MGAT4C,0.0,2.88161035600991,0.957,0.214,0.0,GE
GE-RG-1,ADGRV1,0.0,2.71140756974837,0.996,0.436,0.0,GE
GE-RG-1,LDB2,0.0,2.40243785248359,0.844,0.125,0.0,GE
GE-RG-1,HES5,0.0,2.23799625864739,0.736,0.116,0.0,GE
GE-RG-1,NTM,0.0,2.17916364036611,0.912,0.243,0.0,GE
GE-RG-1,PRKCE,0.0,2.15892981880067,0.85,0.169,0.0,GE
GE-RG-1,FSTL5,0.0,2.1023314777371,0.771,0.131,0.0,GE
GE-RG-1,CREB5,0.0,2.09680459139673,0.841,0.167,0.0,GE
GE-RG-1,PLXDC2,0.0,1.98722593159426,0.822,0.159,0.0,GE
GE-RG-1,TRIM9,0.0,1.9769905500106,0.787,0.114,0.0,GE
GE-RG-1,PRDM16,0.0,1.96452271802006,0.771,0.08,0.0,GE
GE-RG-1,AK5,0.0,1.92754845119969,0.514,0.038,0.0,GE
GE-RG-1,LIPG,0.0,1.8826629388351,0.712,0.076,0.0,GE
GE-RG-1,LIMD1,0.0,1.85098830560019,0.76,0.139,0.0,GE
GE-RG-1,VEPH1,0.0,1.70444876392086,0.603,0.075,0.0,GE
GE-RG-1,AHI1,0.0,1.69434040864185,0.753,0.137,0.0,GE
GE-RG-1,PTPRZ1,0.0,1.66218979166345,0.88,0.218,0.0,GE
GE-RG-1,WWTR1,0.0,1.6566158236211,0.64,0.098,0.0,GE
GE-RG-1,LUCAT1,0.0,1.62283441084281,0.666,0.099,0.0,GE
GE-RG-1,DANT2,0.0,1.56398688003374,0.624,0.097,0.0,GE
GE-RG-2,AC092957.1,0.0,4.68238162622405,0.777,0.018,0.0,GE
GE-RG-2,CSMD1,0.0,4.29843985850708,0.882,0.077,0.0,GE
GE-RG-2,GRID2,0.0,4.27687751352736,0.994,0.252,0.0,GE
GE-RG-2,PTN,0.0,3.90398738836787,0.926,0.132,0.0,GE
GE-RG-2,LRRC4C,0.0,3.68136044691316,0.785,0.094,0.0,GE
GE-RG-2,DSCAM,0.0,3.28226290052253,0.734,0.058,0.0,GE
GE-RG-2,GREB1L,0.0,3.27508991835496,0.763,0.083,0.0,GE
GE-RG-2,FAT3,0.0,3.05288131383403,0.726,0.057,0.0,GE
GE-RG-2,DTNA,0.0,3.01582250696334,0.701,0.1,0.0,GE
GE-RG-2,ADAMTS6,0.0,3.00252019367988,0.735,0.12,0.0,GE
GE-RG-2,PTPRT,0.0,2.9754539116141,0.712,0.129,0.0,GE
GE-RG-2,CDH20,0.0,2.9683587108685,0.63,0.028,0.0,GE
GE-RG-2,SLC1A3,0.0,2.91732600691089,0.687,0.089,0.0,GE
GE-RG-2,PARD3B,0.0,2.86738328557621,0.803,0.124,0.0,GE
GE-RG-2,PAX3,0.0,2.84378735281429,0.553,0.002,0.0,GE
GE-RG-2,TAFA1,0.0,2.82163875011411,0.448,0.03,0.0,GE
